objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,version_publishers,version_languages,version_yearpublished,version_nickname
"7 Wonders","68448","9","","0","1","0","0","0","0","0","0","0","3","","","","","","24018564","7.70423","7.79378","2.3407","43","83905","thing","7 Wonders","2","7","30","30","30","2010","3,4,5,6,7","4","10+","No necessary in-game text","","","","","","standalone","","","",""
"7 Wonders Duel","173346","0","","0","1","0","0","0","0","0","0","0","1","","","","","","39478405","8.00445","8.14089","2.2341","12","54331","thing","7 Wonders Duel","2","2","30","30","30","2015","2","2","10+","No necessary in-game text","","","","","","standalone","","","",""
"7 Wonders: Babel","154638","9","","0","1","0","0","0","0","0","0","0","3","","","","","","31614831","6.68274","7.19944","2.6579","0","9744","thing","7 Wonders: Babel","2","7","45","45","45","2014","3,4,5,6,7","5","10+","No necessary in-game text","","","","","","expansion","","","",""
"7 Wonders: Cities","111661","8","","0","1","0","0","0","0","0","0","0","3","","","","","","24018565","7.51749","7.85176","2.3531","0","21259","thing","7 Wonders: Cities","2","8","30","30","30","2012","3,4,5,6,7,8","4,5","10+","No necessary in-game text","","","","","","expansion","","","",""
"7 Wonders: Cities Anniversary Pack","231168","0","","0","0","0","0","0","0","0","0","1","3","","","","","","46103163","5.98588","7.91337","2.3333","0","2617","thing","7 Wonders: Cities Anniversary Pack","2","8","40","40","40","2017","","","","No necessary in-game text","","","","","","expansion","","","",""
"7 Wonders: Leaders","92539","8","","0","1","0","0","0","0","0","0","0","3","","","","","","24018568","7.5849","7.83542","2.2866","0","25788","thing","7 Wonders: Leaders","2","7","40","40","40","2011","3,4,5,6,7","4","12+","No necessary in-game text","","","","","","expansion","","","",""
"7 Wonders: Leaders Anniversary Pack","231167","0","","0","0","0","0","0","0","0","0","1","3","","","","","","46103173","5.9969","7.90402","2.3333","0","2688","thing","7 Wonders: Leaders Anniversary Pack","2","7","30","30","30","2017","","","","No necessary in-game text","","","","","","expansion","","","",""
"7 Wonders: Wonder Pack","133993","9","","0","1","0","0","0","0","0","0","0","3","","","","","","31614825","7.11518","7.58956","2.3","0","13806","thing","7 Wonders: Wonder Pack","2","7","30","30","30","2013","3,4,5,6,7","4","10+","No necessary in-game text","","","","","","expansion","","","",""
"The 7th Continent","180263","9","","0","0","0","0","0","0","0","0","0","3","","","","","","52856172","8.00276","8.55209","2.8839","14","14583","thing","The 7th Continent","1","4","1000","1000","5","2017","1,2,3","1,2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","",""
"Above and Below","172818","10","","0","1","0","0","0","0","0","0","0","1","","","","","","30778089","7.28505","7.54967","2.5535","171","13857","thing","Above and Below","2","4","90","90","90","2015","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","",""
"Above and Below: Expanded Edition exclusives","175452","0","","0","1","0","0","0","0","0","0","0","3","","","","","","41918583","5.88267","7.77974","2.8","0","1513","thing","Above and Below: Expanded Edition exclusives","2","4","120","120","90","2015","2,3,4","3","10+","","","","","","","expansion","","","",""
