objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,version_publishers,version_languages,version_yearpublished,version_nickname
"Legends of the Hidden Temple","231954","0","","0","1","0","0","0","0","0","0","0","3","","","","","","48791639","5.44554","4.12583","2","15341","317","thing","Legends of the Hidden Temple","4","12","0","0","0","2017","","","12+","","","","","","","standalone","","","",""
"Letters from Whitechapel","59959","0","","0","1","0","0","0","0","0","0","0","3","","","","","","48791622","7.23655","7.46071","2.6742","189","15143","thing","Letters from Whitechapel","2","6","120","120","120","2011","2,3,4,5,6","2","12+","No necessary in-game text","","","","","","standalone","","","",""
"Liar's Dice","45","0","","0","1","0","0","0","0","0","0","0","3","","","","","","25783431","6.76259","6.91948","1.262","583","13246","thing","Liar's Dice","2","6","30","30","15","1800","3,4,5,6","5,6","8+","No necessary in-game text","","","","","","standalone","","","",""
"The Little Prince: Make Me a Planet","134453","6","","0","1","0","0","0","0","0","0","0","3","","","","","","25783406","6.49281","6.92705","1.6","900","3546","thing","The Little Prince: Make Me a Planet","2","5","25","25","25","2013","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","",""
"Lords of Waterdeep","110327","8","","0","1","0","0","0","0","0","0","0","3","","","","","","25783386","7.65756","7.77501","2.4849","53","44141","thing","Lords of Waterdeep","2","5","120","120","60","2012","2,3,4,5","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","",""
"Lords of Waterdeep: Scoundrels of Skullport","134342","8","","0","0","0","0","0","0","0","0","1","1","","","","","","30778053","7.88443","8.22446","2.6455","0","20837","thing","Lords of Waterdeep: Scoundrels of Skullport","2","6","60","60","60","2013","2,3,4,5,6","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","",""
"Lords of Xidit","156566","7","","0","1","0","0","0","0","0","0","0","3","","","","","","33600426","6.78987","7.19072","2.6395","558","5887","thing","Lords of Xidit","3","5","90","90","90","2014","4,5","4,5","10+","No necessary in-game text","","","","","","standalone","","","",""
"Love Letter","129622","7","","0","1","0","0","0","0","0","0","0","3","","","","","","27200784","7.1872","7.27098","1.1989","220","74039","thing","Love Letter","2","4","20","20","20","2012","3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","",""
"Mad QUAO","145621","0","","0","1","0","0","0","0","0","0","0","3","","","","","","25786475","5.49177","5.48889","1.3333","13687","219","thing","Mad QUAO","3","8","10","10","10","2013","4,5,6,7,8","6,8","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","",""
"Mafia de Cuba","176558","0","","0","1","0","0","0","0","0","0","0","3","","","","","","51092774","6.28651","6.65729","1.5075","1308","4640","thing","Mafia de Cuba","6","12","20","20","10","2015","7,8,9,10,11,12","8,9,10","10+","No necessary in-game text","","","","","","standalone","","","",""
